Temperature,n_H,Metallicity,Value
2.5502473959535426,-0.9266677158880817,0.0,4.1433e-26
3.3863472866688036,-0.08101018409509889,0.0,2.7628e-24
5.999615696978289,-2.5153935648345924,0.0,9.08e-29
4.0,-1.3333333333333335,0.0,1.0249e-26
4.2053429089253465,-1.679162132749215,0.0,1.2106e-27
4.696164269175766,0.25281827368487403,0.0,5.1698e-22
3.208938221662488,-3.9999999988072594,0.0,1.7142e-33
2.0000007644916487,1.9616736464394882,0.0,3.785e-22
2.6666666666666665,4.0,0.0,2.7824e-18
3.333333333333333,-4.0,0.0,1.9794e-33
5.999991603667178,0.29381492679462534,0.0,5.3885e-22
4.7635074031217375,3.1407165536497943,0.0,4.8593e-16
3.7289364410263555,-3.9999999994873514,0.0,3.1454e-33
2.149855806724503,-3.3831810977526793,0.0,7.8368e-33
4.011236093817259,2.819861273141144,0.0,2.1287e-18
2.3336234802759313,1.2162807045818167,0.0,1.435e-22
2.0002794413487193,1.959335077572745,0.0,3.7666e-22
2.6346567554707816,0.5317492319297288,0.0,2.0906e-23
2.555373090571411,3.9971575205708247,0.0,2.0948e-18
5.994452093494438,-2.080673353959804,0.0,8.788e-28
2.0000041091745295,-0.8661994925489629,0.0,1.9168e-26
2.62619205070273,3.1035473944108043,0.0,1.4962e-19
2.014951994148879,-2.635173639659532,0.0,2.1076e-31
4.989437309591485,0.34762539858063235,0.0,2.134e-21
3.9616216954872803,3.671708245660995,0.0,2.7209e-17
2.6540195089407335,-2.3712801680384703,0.0,1.2445e-29
2.000018923136885,2.712958788028036,0.0,2.8083e-21
5.999999485101135,-1.0991514076010642,0.0,7.4514e-25
5.199403246146527,-1.5829680392753365,0.0,3.1035e-26
5.15181523786303,1.860694396341433,0.0,2.5023e-18
2.8854396826421707,-0.7038607735316337,0.0,1.6843e-25
3.500366791588115,1.0907793933060583,0.0,3.6345e-22
4.595865929518896,-3.999999578243126,0.0,9.0693e-33
4.869845678030435,0.2732122686831687,0.0,1.1004e-21
4.506054098124249,3.2158440625984355,0.0,3.0156e-16
5.999985364326552,-2.5377763986874196,0.0,8.1711e-29
5.999997755818702,3.1504805896848462,0.0,2.8096e-16
2.5959604993900434,-0.0871424159922849,0.0,1.8732e-24
2.8540097674129106,-2.7567330189833346,0.0,8.1096e-31
3.1114083982952243,3.946628297214505,0.0,4.7764e-18
4.7070035138420625,-1.5075618290036594,0.0,1.8434e-26
5.999999999982876,-2.85839042838217,0.0,1.7294e-29
3.327658034570179,-3.5234699117496016,0.0,1.7149e-32
2.3591564682836434,-2.26485342067788,0.0,8.6584e-30
4.197439167954935,1.539170882917421,0.0,5.625e-20
4.077505305928668,-2.678167959820972,0.0,4.8731e-30
3.333333333333333,-1.3333333333333335,0.0,1.6227e-26
2.0011018664681517,0.6964328106472338,0.0,9.5601e-24
4.200984020864912,3.99999993565694,0.0,9.302e-15
2.107299521761421,3.9722637024913405,0.0,2.5562e-19
2.3122563351645926,-1.0444950144680425,0.0,1.5807e-26
5.28623405828216,0.7726105946104085,0.0,1.7758e-20
3.0473070919732814,3.4281423541831666,0.0,8.5239e-19
2.3237627878002476,-1.4360087483032435,0.0,1.7799e-27
4.400316396124951,-3.362248884647207,0.0,1.3305e-31
4.317314927318835,2.0643599885179644,0.0,1.7455e-18
2.6404762804042123,-2.0635486404604744,0.0,1.1196e-28
2.000033609685068,-2.23944571290487,0.0,2.3086e-30
4.139995674555589,-0.5277484175739529,0.0,7.3665e-25
5.999999150769474,-0.9393169308828081,0.0,1.6357e-24
2.0898972646033656,-2.655375275161785,0.0,2.1802e-31
4.688594662145544,-2.9777836563811917,0.0,1.3842e-30
4.539408850715729,-1.9083229751535933,0.0,7.4601e-28
5.499201051536727,-0.5112420000918876,0.0,2.1564e-23
5.999999976351639,-0.6368479677305049,0.0,6.9767e-24
5.198316979405762,3.999985859435883,0.0,4.9273e-14
5.96325434842171,2.214258837216721,0.0,3.7819e-18
3.3514263809028972,0.6032765021953798,0.0,4.445e-23
3.982726282755781,3.999929958542778,0.0,1.087e-16
2.0000000000462395,-0.32426932508355244,0.0,2.0141e-25
2.000010286083847,-1.0553840188679084,0.0,7.4693e-27
5.833617471777892,-2.4293935440137275,0.0,1.2883e-28
2.000000020725101,2.0223159151895054,0.0,4.4432e-22
4.268940238872141,2.048527469263667,0.0,1.5354e-18
3.3507365891218446,-2.4330429303685066,0.0,1.3832e-29
2.979866249184976,0.22852717981039797,0.0,8.9292e-24
3.793117179485609,3.821840551107999,0.0,1.567e-17
4.392752863892901,-1.8167077866979338,0.0,7.6421e-28
2.042626456976184,3.3270736987142517,0.0,2.1944e-20
2.0000329605968927,1.0707620912102895,0.0,3.1655e-23
2.0000011153589936,2.5826689319404483,0.0,1.9714e-21
3.6440964711996107,-2.3506154707601934,0.0,2.0386e-29
3.1186514681701283,-0.061304926588241326,0.0,2.974e-24
4.442151245032329,1.0615361179436942,0.0,1.3326e-20
4.32861251738926,0.06265066506503658,0.0,4.4032e-23
2.627615958548198,-2.551619163146649,0.0,2.5708e-30
