Temperature,n_H,Metallicity,Value
2.000000000000002,1.97325059847063,-0.198843533173938,2.5217e-22
2.000000000000016,-2.1652839819251133,-1.6271068262840596,1.2127e-30
2.0000000000000577,2.6896752506648194,-0.20887799737387452,1.6627e-21
2.0000000000000586,-1.5937120683053867,-1.8355369381618827,1.8777e-29
2.0000000000001177,1.4456586236541045,-1.9387708580457739,3.6053e-24
2.0000000000001332,2.4889628972817355,-1.0986599271551851,1.6129e-22
2.0000000000001394,-0.13076753467698393,-1.4087523334034018,2.5635e-26
2.0000000000001528,2.7944680552159826,-0.35999524615462924,1.5904e-21
2.0000000000001577,-2.466678552901558,-1.5376680059441004,2.9825e-31
2.000000000000185,-2.088145515509304,-1.5419981955294673,1.7784e-30
2.0000000000001896,1.580711314027596,-1.9013160814742558,5.4348e-24
2.0000000000002354,1.0502557568125186,-1.4047852312421516,1.9013e-24
2.000000000000254,0.49402271004853693,-1.437670131665521,2.7719e-25
2.0000000000002576,1.4008932568554158,-0.06276235029717978,7.234e-23
2.0000000000003038,1.4186613201375986,-0.09670369635425442,7.0502e-23
2.000000000000303,1.6300800188046738,-1.2178525466570271,1.3554e-23
2.000000000000313,1.0458282971397312,-1.4212301507640515,1.8332e-24
2.000000000000319,2.7179056049602477,-0.3774447122010967,1.2424e-21
2.0000000000003224,0.6264268105850311,-1.5416139537568696,3.8836e-25
2.0000000000003477,1.2700220806352842,-1.8444082592080757,2.3063e-24
2.000000000000365,2.3667341548353114,-1.8060875035790185,4.7626e-23
2.0000000000003677,1.7687661840937239,-1.842690861725128,9.5446e-24
2.0000000000003717,-0.28493298003319895,-1.7622268829150927,8.5971e-27
2.000000000000405,-2.343466454841038,-1.359621716775702,5.3773e-31
2.000000000000418,-0.149949509770462,-1.7578494577318775,1.5126e-26
2.0000000000004476,-0.14789572745266746,-1.7785820692399872,1.4927e-26
2.000000000000454,2.6626983781230047,-0.6023526059599201,6.635e-22
2.0000000000004596,2.5693407294680934,-1.4167771058022387,1.2251e-22
2.0000000000004614,-0.49978626265862414,-1.0639480869815026,1.0068e-26
2.000000000000466,-1.252750207310473,-1.0320566062598169,2.9337e-28
2.0000000000004765,-1.2410941698578297,-1.988955523112577,9.7375e-29
2.000000000000484,1.8494274197794884,-1.807492707668211,1.2208e-23
2.000000000000492,2.4663676413073494,-1.5683157451091034,7.7668e-23
2.0000000000005107,2.1861016149637513,-1.7362793792385809,3.162e-23
2.0000000000005462,-0.6484575768365846,-1.0713228482122712,5.2427e-27
2.000000000000631,1.6803573208977105,-0.28081429258763124,9.6425e-23
2.00000000000063,2.375594891873901,-1.2163737628583093,9.8677e-23
2.0000000000006453,-2.496070992361447,-0.07403880249457888,4.1011e-31
2.000000000000672,-1.1729520616972058,-1.0483834401697698,4.3986e-28
