Temperature,n_H,Metallicity,Value
6.0,1.333333333333333,-2.0,2.9087e-21
6.0,2.666666666666666,0.0,3.0282e-17
6.0,2.666666666666666,-1.0,3.968e-18
6.0,2.666666666666666,-2.0,1.3503e-18
6.0,-2.666666666666667,0.0,4.4441e-29
6.0,-2.666666666666667,-1.0,2.2823e-29
6.0,-2.666666666666667,-2.0,2.0677e-29
6.0,-4.0,0.0,4.8216e-32
6.0,4.0,0.0,1.3999e-14
6.0,-4.0,-1.0,4.0549e-32
6.0,4.0,-1.0,1.8362e-15
6.0,-4.0,-2.0,3.9789e-32
6.0,4.0,-2.0,6.262e-16
2.002493453085882,2.8773869070912244,-0.44577590813636847,1.6886e-21
2.0046144809192823,2.394630026719008,-1.9850594764903717,4.5756e-23
2.0097001910657957,-1.1315864477991147,-0.006181284996007341,5.0387e-27
2.0293615313768916,-0.2579563702805264,-0.010507120050840158,2.8095e-25
2.0371431211739233,-0.6342092567129124,-1.547641547910219,2.776e-27
2.067174468580344,-1.9946845631876626,-0.056376661762882446,1.5635e-29
2.0887451287273935,2.1265998565846864,-1.9560308986548893,3.0664e-23
2.109732845436848,2.4160290612719284,-0.006177842265573497,2.3598e-21
2.2344449616229185,-3.1109851404552513,-1.9719746235513214,2.0331e-32
2.2623727090266543,-1.3528705991391379,-1.411327054558114,1.5555e-28
2.2748618817249877,-0.7563796315473612,-0.9814645972640409,7.3911e-27
2.437746793998367,3.40565268181681,-0.0349285502781889,2.0993e-19
2.5096424386872043,2.594773229954831,-0.1548970783763516,1.5542e-20
2.5638178234696265,1.3965702585545239,-1.093205297998599,4.4387e-23
2.572568580738885,2.5362178311885044,-1.0555769082580577,2.0819e-21
2.591821888297381,2.7296087124350734,-0.17132851005952343,2.8503e-20
2.605450575295742,-1.4024282264196424,-1.0098754296705654,4.8444e-28
2.6559359428460176,3.9834957920721563,-1.0020386666780614,2.6606e-19
2.671785722218794,3.904569544458804,-1.0923696041504574,1.7608e-19
2.674741791459221,-2.8203997476086413,-0.04874567983191392,3.1202e-31
2.7001354137365317,0.9544623621762275,-1.6895875690041695,4.3867e-24
2.7050756636247337,-2.4263093241682046,-1.974606526569585,9.2189e-31
2.7614712760445057,-0.5024618914100647,-0.21087434166033847,2.3559e-25
2.811523838853267,-0.0492116612186493,-1.061495604118582,2.7019e-25
2.831632265699243,-3.32061282079427,-1.9949177958457254,1.6016e-32
2.9127095955275486,3.508080100023656,-1.9998822829162308,1.5114e-20
2.916199250968673,-3.238158373387102,-1.0026869204290905,2.7186e-32
2.946619840899924,2.9910669081735626,-0.9036061789520168,2.4549e-20
3.000527039954443,-3.90615044010023,-1.7041897176588385,1.341e-33
3.0150151599250306,1.5753076518654288,-0.20498391209445765,1.0348e-21
3.0468649045673093,-2.936237173122446,-0.7596118960533066,1.437e-31
