10.0177 80475089240
9.69797 1.1235e+11
9.49593 138338365440
9.30214 1.64495e+12
9.11609 5057972000000
8.93735 5.60332e+12
8.76547 5.63899e+12
8.60009 5.9554e+12
8.44083 6258117801600
8.28736 7.25591e+12
7.99657 8089882639200
7.7255 8.58054e+12
7.53396 1.15581e+13
7.29287 1.29127e+13
7.17803 1.3646e+13
7.12195 1.41e+13
6.95885 1.4552e+13
6.90613 1.54439e+13
6.80305 1.54826e+13
6.65408 1.79932e+13
6.51149 19002364640000
6.37489 2.96e+13
6.20142 50101676604000
6.03715 5.09171e+13
5.88135 5.81239e+13
5.73339 6.28391e+13
5.62722 66303768888000
5.49162 7.18676e+13
5.36241 7.67366e+13
5.26942 7.45068e+13
5.15034 8.63825e+13
5.0645 9.05339e+13
5.00884 9.34018e+13
4.90113 9.92732e+13
4.77282 1.06915e+14
4.69902 1.12412e+14
4.60409 118495658160000
4.51292 1.25726e+14
4.44687 1.30935e+14
4.341 1.34363e+14
4.22041 150777946368000
4.14368 1.59192e+14
4.08793 163245786132000
4.0159 1.73163e+14
3.96352 2.50835e+14
3.89577 4.14174e+14
3.79837 5.20605e+14
3.70573 5.02738e+14
3.6175 5.44973e+14
3.54712 4.67586e+14
3.50619 5.44863e+14
3.45307 581045376384000
3.38888 5.89697e+14
3.32704 596024610200000
3.26742 6.03085e+14
3.20989 6.12139e+14
3.14348 5.93552e+14
3.07976 6.11551e+14
3.0286 6.09045e+14
2.95977 6.29234e+14
2.8667 6.61213e+14
2.7793 6.74776e+14
2.69707 6.82164e+14
2.61957 6.86985e+14
2.55353 697458959778000
2.49074 7.1513e+14
2.43096 7.18451e+14
2.36782 6.98678e+14
2.30787 7.31863e+14
2.25089 747214356600000
2.20195 7.48442e+14
2.16021 7.42444e+14
2.12002 7.40676e+14
2.06714 751773177162000
2.02131 7.49678e+14
1.98176 7.43466e+14
1.93959 7.44026e+14
1.89919 7.53104e+14
1.86043 7.37348e+14
1.82322 753722000000000
1.8016 7.40573e+14
1.78049 784317022208000
1.75309 7.8143e+14
1.72002 7.6986e+14
1.68817 7.4489e+14
1.65747 738398870000000
1.62787 7.65894e+14
1.59931 7.83132e+14
1.57174 772239840000000
1.5451 7.77789e+14
1.51935 748824720000000
1.49444 6.64372e+14
1.47034 775066488800000
1.447 760282059600000
1.42439 7.75729e+14
1.40248 7.65675e+14
1.38542 748747159328000
1.37084 7.68711e+14
1.35053 775152382500000
1.33082 7.40842e+14
1.31167 7.67558e+14
1.29306 726417942300000
1.2732 7.68877e+14
1.25566 7.6765e+14
1.24028 7.67509e+14
1.22364 7.57391e+14
1.20743 752415899250000
1.19165 6.82394e+14
1.17627 7.4746e+14
1.16129 7.22235e+14
1.14668 7.37126e+14
1.13243 7.42398e+14
1.11854 741050326260000
1.10498 742073503875000
1.09175 6.80145e+14
1.07883 7.32321e+14
1.06621 7.25143e+14
1.05388 729704485865000
1.04184 7.30758e+14
1.03007 727978605960000
1.01856 7.2685e+14
1.0073 7.19159e+14
0.996294 702787093290000
0.985524 1.07691e+15
0.974983 1.4639e+15
0.964666 1.76189e+15
0.954565 1.94593e+15
0.944673 2.06409e+15
0.934984 1.25358e+15
0.925492 1826343778200000
0.91619 1.77271e+15
0.907074 2023634242050000
0.898137 2052281002566667
0.889375 1426990393750000
0.880782 1.9181e+15
0.872353 2.3634e+15
0.864085 2.31517e+15
0.855971 2.06418e+15
0.848009 2.21218e+15
0.840193 1.8857e+15
0.83252 2263151694000000
0.824986 2.18944e+15
0.817587 2.1579e+15
0.810319 1.97081e+15
0.80318 2.22287e+15
0.796165 2153528121733334
0.789272 2.16579e+15
0.782497 2.14114e+15
0.775838 1.66057e+15
